"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"Airlie Women's Clinic - Malvern","Malvern","VIC",3144,145.041412353516,-37.8534202575684,"General practice service","GP",15
"Coorparoo Village Medical Centre","Coorparoo","QLD",4151,153.060623168945,-27.4933490753174,"General practice skin cancer service","GP",6
"Currambine Child Health Centre","Currambine","WA",6028,115.73990609,-31.73887719,"Maternal, child and family health service","GP",8
"Beaudesert Road Surgery","Moorooka","QLD",4105,153.02494771,-27.53249734,"General practice service","GP",2
"Chelsea Heights Medical Centre","Chelsea Heights","VIC",3196,145.13643841,-38.04481741,"General practice service","GP",4
"Swan View Family Practice","Swan View","WA",6056,116.046409606934,-31.8856506347656,"General practice service","GP",3
"Mount Alexander Shire Council - Maternal And Child Health","Castlemaine","VIC",3450,144.216354370117,-37.0640106201172,"Maternal, child and family health service","GP",10
"Whites Hill Family Medical","Camp Hill","QLD",4152,153.077133178711,-27.5009880065918,"General practice service","GP",4
"Dr K.y. Ng's General Practice","Baulkham Hills","NSW",2153,150.978210449219,-33.7671852111816,"General practice service","GP",10
"Doctors On Clyde","Clyde North","VIC",3978,145.33568,-38.076419,"General practice service","GP",7
"Fremantle Child Development Service - Lancaster House","Spearwood","WA",6163,115.78343,-32.09536,"Maternal, child and family health service","GP",8
"Ormiston Medical Centre","Ormiston","QLD",4160,153.256332397461,-27.5124244689941,"General practice service","GP",4
"Dr E Ozme","Newtown","NSW",2042,151.174899,-33.898801,"General practice service","GP",24
"Jsn Medical","Delacombe","VIC",3356,143.80800488,-37.58494924,"General practice service","GP",3
"Pro Health Care Salisbury","Salisbury","SA",5108,138.64047396,-34.76421095,"General practice service","GP",11
"North Rockhampton Medical Centre","Frenchville","QLD",4701,150.5363301,-23.34538111,"General practice service","GP",3
"Terrace Clinic","Port Pirie West","SA",5540,138.003524780273,-33.1768112182617,"General practice service","GP",1
"Aboriginal Family Clinic Noarlunga","Noarlunga Centre","SA",5168,138.4997422,-35.1388688,"General practice service","GP",6
"Bay Doctors And Skin Cancer Clinic","Salamander Bay","NSW",2317,152.07723446,-32.72169573,"General practice service","GP",9
"Hopevale Primary Health Care Centre - Maternal And Child Health Services","Hope Vale","QLD",4895,145.107452392578,-15.2951068878174,"Maternal, child and family health service","GP",3
"Eastwood Village Medical Practice","Eastwood","NSW",2122,151.08022938,-33.79259233,"General practice service","GP",23
"Mylocaldoc Wishart","Upper Mount Gravatt","QLD",4122,153.09238747,-27.54640318,"General practice service","GP",11
"My Healthcity Hope Island","Hope Island","QLD",4212,153.366309,-27.878995,"General practice service","GP",9
"Wallsend Family Medical Centre","Wallsend","NSW",2287,151.669815063477,-32.9018287658691,"General practice service","GP",11
"Holland Park General Practice","Holland Park West","QLD",4121,153.07070547,-27.5288398,"General practice service","GP",5
"Craigrossie Clinic","Albert Park","VIC",3206,144.952728271484,-37.84273147583,"General practice service","GP",5
"Sunshine City Medical Centre","Sunshine","VIC",3020,144.841293334961,-37.77880859375,"General practice service","GP",22
"Barton General Practice","Barton","ACT",2600,149.13331795,-35.31282742,"General practice service","GP",3
"Greenmeadows Medical","Port Macquarie","NSW",2444,152.89697265625,-31.4561386108398,"General practice service","GP",31
"Mabuiag Island Primary Health Care Centre","Mabuiag Island","QLD",4875,142.19133354,-9.95414478,"Nurse led clinic","GP",1
"Burwood Westfield Medical Centre","Burwood","NSW",2134,151.10595949,-33.87460801,"General practice service","GP",28
"Purple House Primary Health Care","Braitling","NT",870,133.87361569,-23.68606022,"General practice service","GP",2
"Family Daycare Providers C&r Cowling Scaife","Nambour","QLD",4560,152.97244374,-26.61790589,"Maternal, child and family health service","GP",12
"Kensington Hill Medical Centre","Leopold","VIC",3224,144.46468934,-38.18882374,"General practice service","GP",6
"Minto Mall Medical Centre","Minto","NSW",2566,150.84852019,-34.0318551,"General practice service","GP",7
"First Light Healthcare","Ballina","NSW",2478,153.5586478,-28.86881389,"General practice service","GP",14
"Priceline Pharmacy Yamba","Yamba","NSW",2464,153.32686753,-29.42828182,"General practice service","GP",6
"Maternal And Child Health Centre - Romsey","Romsey","VIC",3434,144.74413117,-37.35497554,"Maternal, child and family health service","GP",5
"The Hastings Clinic","Hastings","VIC",3915,145.190155029297,-38.3062591552734,"General practice service","GP",6
"Doctors @ Nerang Mall","Nerang","QLD",4211,153.33850102,-28.00010614,"General practice service","GP",14
"Walloon Medical Centre","Walloon","QLD",4306,152.665222167969,-27.6053428649902,"General practice service","GP",1
"Appin Family Practice","Appin","NSW",2560,150.787155151367,-34.2002410888672,"General practice service","GP",3
"Armidale Medical Centre","Armidale","NSW",2350,151.66686551,-30.51691541,"General practice service","GP",16
"Botany Park Medical Centre","Carrum Downs","VIC",3201,145.173629760742,-38.1117706298828,"General practice service","GP",14
"Parnngurr Clinic - Puntukurnu Aboriginal Medical Service","Newman","WA",6753,119.73503112793,-23.3593215942383,"General practice service","GP",6
"Medchoice","Woodville North","SA",5012,138.548080444336,-34.8740234375,"General practice service","GP",2
"The Lakes Family Medical Centre","Caboolture South","QLD",4510,152.95052698,-27.09207994,"General practice service","GP",3
"Lockridge Medical Centre","Kiara","WA",6054,115.93729,-31.88664,"General practice service","GP",2
"New Albion Medical Centre","Albion Park","NSW",2527,150.772918701172,-34.5712776184082,"General practice service","GP",6
"Werin Aboriginal Corporation","Port Macquarie","NSW",2444,152.911697387695,-31.4355945587158,"Aboriginal and Torres Strait Islander health service","GP",31
"Grand Medical Centre","Forest Lake","QLD",4078,152.96787938,-27.62723213,"General practice service","GP",7
"Living Strong Program - Salisbury","Salisbury","QLD",4107,153.03007323,-27.54430401,"Aboriginal and Torres Strait Islander health service","GP",11
"Boronia Medical Centre","Boronia","VIC",3155,145.282699584961,-37.8627662658691,"General practice service","GP",13
"Bay Village Medical Centre","Killarney Vale","NSW",2261,151.461318969727,-33.3662147521973,"General practice service","GP",4
"East Canberra General Practice","Canberra Airport","ACT",2609,149.190216064453,-35.2950973510742,"General practice service","GP",2
"West Beach Medical Clinic","West Beach","SA",5024,138.504959106445,-34.9369430541992,"General practice service","GP",2
"Balsam Medical Centre","Hoxton Park","NSW",2171,150.857025,-33.927071,"General practice service","GP",3
"Earlwood Health And Medical Centre","Earlwood","NSW",2206,151.123687744141,-33.9265365600586,"General practice service","GP",12
"Woolloongabba Medical Centre & Skin Cancer Clinic","Kangaroo Point","QLD",4169,153.03882943,-27.48472756,"General practice service","GP",7
"Maternal And Child Health Centre - Glen Iris East","Glen Iris","VIC",3146,145.081085205078,-37.8493347167969,"Maternal, child and family health service","GP",11
"Banora Point Community Centre","Banora Point","NSW",2486,153.53027719,-28.21499671,"Maternal, child and family health service","GP",5
"Nowell Medical Practice","Wolli Creek","NSW",2205,151.154220581055,-33.9299392700195,"General practice service","GP",7
"Health Hub Family Gp","Glenelg","SA",5045,138.516128540039,-34.9798049926758,"General practice service","GP",11
"South Lake Family Practice","South Lake","WA",6164,115.82776,-32.10675,"General practice service","GP",8
"Two Rocks Medical Centre","Two Rocks","WA",6037,115.58501707,-31.49434456,"General practice service","GP",4
"Firstcare 7 Day Doctors Brisbane Cbd","Brisbane City","QLD",4000,153.0244140625,-27.470235824585,"General practice service","GP",28
"Intelligent Ageing","Neutral Bay","NSW",2089,151.221481323242,-33.8319206237793,"General practice service","GP",11
"Medisurge Surgery","Wheelers Hill","VIC",3150,145.178894042969,-37.9059028625488,"General practice service","GP",12
"Bentleigh Doctors","Bentleigh","VIC",3204,145.03356908,-37.91821013,"General practice service","GP",13
"Dr. Pereira's Surgery","Springvale","VIC",3171,145.150698,-37.94869,"General practice service","GP",26
"Reservoir Medical Group","Reservoir","VIC",3073,145.0284777,-37.7247188,"General practice service","GP",23
"Dunedoo Medical Centre","Dunedoo","NSW",2844,149.397094,-32.017044,"General practice service","GP",5
"Hornsby Mall Medical Centre","Hornsby","NSW",2077,151.1015053,-33.70438495,"General practice service","GP",28
"South Eastern Sydney Lhd - St George And Sutherland Child And Family Health Nursing Service","Caringbah","NSW",2229,151.1147835,-34.03747746,"Maternal, child and family health service","GP",19
"Smithfield Central Doctors","Smithfield","QLD",4878,145.69408553,-16.83827223,"General practice service","GP",19
"Life Medical Clinic Bexley","Bexley North","NSW",2207,151.114974975586,-33.9390525817871,"General practice service","GP",3
"Namoi Medical Services","Narrabri","NSW",2390,149.782012939453,-30.3242416381836,"General practice service","GP",7
"East Maddington Child Health Centre","Maddington","WA",6109,116.00412337,-32.05542615,"Maternal, child and family health service","GP",10
"The Glen Superclinic","Glen Waverley","VIC",3150,145.165208,-37.876301,"General practice service","GP",27
"Grafton Early Childhood Health Centre","Grafton","NSW",2460,152.93635385,-29.68982193,"Maternal, child and family health service","GP",13
"Durham Road Clinic","Sunshine","VIC",3020,144.828018188477,-37.7884025573731,"General practice service","GP",22
"Milperra Medical Centre","Milperra","NSW",2214,150.98886786,-33.93821162,"General practice service","GP",3
"Centre For Developmental Disability Health  (Cddh)","Doveton","VIC",3177,145.238784790039,-37.9921531677246,"General practice service","GP",5
"Colleges Crossing Family Practice","Karana Downs","QLD",4306,152.813491821289,-27.5531845092773,"General practice service","GP",2
"Dunstan Dental & Medical","Clayton","VIC",3168,145.118713378906,-37.9250679016113,"General practice service","GP",19
"Coonamble Aboriginal Health Service","Coonamble","NSW",2829,148.3881718,-30.95162228,"Aboriginal and Torres Strait Islander health service","GP",5
"Choice Of Living Health Centre","Greenacres","SA",5086,138.629623413086,-34.8711853027344,"General practice service","GP",4
"Good Samaritan Medical & Dental","Sylvania","NSW",2224,151.09674798,-34.01038547,"General practice service","GP",5
"Kang Nam Surgery","Eastwood","NSW",2122,151.084473,-33.791115,"General practice service","GP",23
"Peninsula Skin Cancer Centre Frankston","Frankston","VIC",3199,145.1221606,-38.1372125,"General practice skin cancer service","GP",38
"Yirs One Stop Youth Shop Inc","Mackay","QLD",4740,149.18644511,-21.14159569,"Maternal, child and family health service","GP",16
"Mornington Island Primary Health Care Centre - Renal Services","Wellesley Islands","QLD",4892,139.17523994,-16.66319113,"Nurse practitioner led clinic","GP",3
"Mittagong Doctors","Mittagong","NSW",2575,150.43821338,-34.44724151,"General practice service","GP",9
"Whyalla Child And Family Health Centre","Whyalla Playford","SA",5600,137.56703547,-33.03009774,"Maternal, child and family health service","GP",1
"Maternal And Child Health Centre - Footscray - Hyde Street 1 & 2","Footscray","VIC",3011,144.90055774,-37.80486683,"Maternal, child and family health service","GP",31
"Premium Care Medical Practice","Salisbury Downs","SA",5108,138.62395347,-34.76929334,"General practice service","GP",3
"The Doctors Bushland Beach","Bushland Beach","QLD",4818,146.674996058888,-19.1995633676803,"General practice service","GP",2
"Clifton Springs Medical Centre","Clifton Springs","VIC",3222,144.55533569,-38.16094296,"General practice service","GP",1
"Allenby Gardens Medical Practice","Allenby Gardens","SA",5009,138.55298757,-34.90408848,"General practice service","GP",1
"Modern Medical - Craigieburn","Craigieburn","VIC",3064,144.91981768,-37.58309274,"General practice service","GP",30
"The Avenue Family Medical Clinic","Cranbourne North","VIC",3977,145.32764739,-38.08823501,"General practice service","GP",8
"Coomealla Health Aboriginal Corporation Wentworth","Wentworth","NSW",2648,141.919712,-34.105899,"Aboriginal and Torres Strait Islander health service","GP",2
"Brookland Medical Centre","Canning Vale","WA",6155,115.94160978,-32.0896516,"General practice service","GP",19
"Doctors At Ormeau Town Centre","Ormeau","QLD",4208,153.252883911133,-27.7864627838135,"General practice service","GP",8
"Atticus Health - Hamilton Island","Whitsundays","QLD",4802,148.955495,-20.346606,"General practice service","GP",2
"Whitehorse Medical Centre","Mitcham","VIC",3132,145.193008422852,-37.816104888916,"General practice service","GP",7
"James St. Burleigh Medical Centre","Burleigh Heads","QLD",4220,153.45117325,-28.08960499,"General practice service","GP",8
"Peninsula Skin Cancer Centre","Mornington","VIC",3931,145.04571755,-38.22127407,"Community cancer service","GP",27
"Glenorie District Medical Centre","Glenorie","NSW",2157,151.009808,-33.603073,"General practice service","GP",2
"15 Martins Lane, Viewbank","Viewbank","VIC",3084,145.08533225,-37.73191197,"General practice service","GP",2
"Ramsay Street General Practice","Cloncurry","QLD",4824,140.50762463,-20.70653568,"General practice service","GP",4
"Southbank Medical Clinic","Southbank","VIC",3006,144.966567993164,-37.8276634216309,"General practice service","GP",8
"Northbridge Medical Centre","Perth","WA",6000,115.863655090332,-31.9470176696777,"General practice service","GP",37
"Adelong Medical Centre","Adelong","NSW",2729,148.060104370117,-35.3070945739746,"General practice service","GP",2
"Myhealth Medical Centre - Liverpool","Liverpool","NSW",2170,150.925354003906,-33.9203414916992,"General practice service","GP",38
"Healthplus - Menai","Menai","NSW",2234,151.01147108,-34.01696131,"General practice service","GP",8
"Bethany Medical Centre","Engadine","NSW",2233,151.015502929688,-34.0644950866699,"General practice service","GP",15
"Lancaster Medical Centre","Werribee","VIC",3030,144.67325276,-37.8966702,"General practice service","GP",34
"Greystanes Family Medical Practice","Greystanes","NSW",2145,150.941592,-33.819123,"General practice service","GP",5
"Noosa Health Centres - Sunrise Beach","Sunrise Beach","QLD",4567,153.100006103516,-26.4115371704102,"General practice service","GP",1
"Craigieburn Medical Centre","Craigieburn","VIC",3064,144.940658569336,-37.5992431640625,"General practice service","GP",30
"Bonya Community Health Centre","Anatye","NT",872,136.158447265625,-22.7837829589844,"General practice service","GP",1
"Healthone Quirindi","Quirindi","NSW",2343,150.676559448242,-31.5003910064697,"General practice service","GP",3
"Gv Family Clinic","Shepparton","VIC",3630,145.40377735,-36.38070096,"General practice service","GP",28
"Bullsbrook Medical Centre","Bullsbrook","WA",6084,116.031150817871,-31.6725063323975,"General practice service","GP",4
"Heathmont General Practice","Heathmont","VIC",3135,145.24351386,-37.8319241,"General practice service","GP",3
"Gowan Plaza Family Practice And Skin Cancer Surgery","Calamvale","QLD",4116,153.059204101563,-27.6246376037598,"General practice skin cancer service","GP",10
"Two Wells Family Medical Centre","Two Wells","SA",5501,138.51424161,-34.59327452,"General practice skin cancer service","GP",4
"Egerton Drive Medical Centre","Aveley","WA",6069,115.98862752,-31.77641904,"General practice service","GP",4
"Gold City Medical Centre","Charters Towers City","QLD",4820,146.257139154926,-20.0756082612818,"General practice service","GP",7
"Davidson Family Medical Practice","Davidson","NSW",2085,151.20162182,-33.74431969,"General practice service","GP",1
"Dr Tsang's Surgery","Greenacre","NSW",2190,151.058151245117,-33.9031448364258,"General practice service","GP",10
"Famcare Medical Practice","Kellyville","NSW",2155,150.97023111,-33.70139247,"General practice skin cancer service","GP",9
"Allambie Medical Centre","Allambie Heights","NSW",2100,151.26292987,-33.77546082,"General practice service","GP",3
"Annandale General Practice","Annandale","NSW",2038,151.17413137,-33.88332433,"Maternal, child and family health service","GP",5
"Spurling Medical","Kippa-Ring","QLD",4021,153.093048095703,-27.2305850982666,"General practice service","GP",10
"The Clinic Tahmoor","Tahmoor","NSW",2573,150.593966,-34.219638,"General practice service","GP",6
"Mayfield Medical Centre","Mayfield","NSW",2304,151.736450195313,-32.8977508544922,"General practice service","GP",5
"Mercy Health Service Albury Palliative Care","Albury","NSW",2640,146.91661928,-36.06928372,"Nurse led clinic","GP",15
"Marysville Medical Clinic","Marysville","VIC",3779,145.74822344,-37.51146316,"General practice service","GP",2
"Park Street General Practice","Geelong","VIC",3220,144.369338989258,-38.1511497497559,"General practice service","GP",24
"Brookman Child Parenting Centre","Langford","WA",6147,115.9374,-32.03681,"Maternal, child and family health service","GP",5
"Warrawong General Practice","Warrawong","NSW",2502,150.887756479967,-34.4838769023035,"General practice service","GP",11
"Narrandera Medical Centre","Narrandera","NSW",2700,146.553817749023,-34.7468681335449,"General practice service","GP",8
"Newpark Medical Centre","Girrawheen","WA",6064,115.82977572,-31.83560123,"General practice service","GP",7
"The Family And Sports Medicine Centre","Gladesville","NSW",2111,151.129898071289,-33.8284912109375,"General practice service","GP",6
"Footscray Medical Clinic","Footscray","VIC",3011,144.899505615234,-37.7989959716797,"General practice service","GP",31
"Camp Road Family Clinic","Broadmeadows","VIC",3047,144.920791625977,-37.6851310729981,"General practice service","GP",16
"One Care Family Doctors","Upper Mount Gravatt","QLD",4122,153.07994,-27.55058,"General practice service","GP",11
"Roxburgh Park Medical Select","Coolaroo","VIC",3048,144.93209726,-37.64575175,"General practice service","GP",6
"Grillett Family Practice","Broken Hill","NSW",2880,141.46689699,-31.95659783,"General practice service","GP",14
"Majors Bay Medical Centre","Concord","NSW",2137,151.10352036,-33.85555464,"General practice service","GP",6
"Birchip Medical Clinic","Birchip","VIC",3483,142.915603637695,-35.9801559448242,"General practice service","GP",4
"Raworth Medical","Singleton","NSW",2330,151.16828918457,-32.5652923583984,"General practice service","GP",10
"North Strathfield Medical Practice","North Strathfield","NSW",2137,151.087967,-33.86356,"General practice service","GP",3
"Village Medical Centre - Highfields","Highfields","QLD",4352,151.94499206543,-27.4505500793457,"General practice service","GP",4
"The Doctors Glendale","Glendale","NSW",2285,151.64267475,-32.93487258,"General practice service","GP",4
"Uts Health Service","Ultimo","NSW",2007,151.201599121094,-33.8840980529785,"General practice service","GP",2
"Smart Scan And Lloyds Northside Clinic","Mount Pleasant","QLD",4740,149.159072875977,-21.1172847747803,"General practice service","GP",15
"Warrnambool Community Health","Warrnambool","VIC",3280,142.4735702,-38.37933177,"Aboriginal and Torres Strait Islander health service","GP",24
"Beecroft Family & Skin Cancer Clinic","Beecroft","NSW",2119,151.06471833,-33.7491952,"General practice service","GP",5
"Harrisdale Child Health Centre, Child And Adolescent Health Service - Community Health","Harrisdale","WA",6112,115.9295167,-32.12180586,"Maternal, child and family health service","GP",4
"Healthmint Medical Centre Croydon","Croydon","VIC",3136,145.27929173,-37.79305038,"General practice service","GP",19
"Macleay Island Child Health","Macleay Island","QLD",4184,153.3657061,-27.63067306,"Maternal, child and family health service","GP",3
"Elanora Heights Medical Practice","Elanora Heights","NSW",2101,151.280517578125,-33.6954040527344,"General practice service","GP",3
"Tieri Family Unit And Child Health Centre","Tieri","QLD",4709,148.34431393,-23.0373214,"Maternal, child and family health service","GP",3
"Goulburn Medical Centre","Mooroopna","VIC",3629,145.35908095,-36.39515863,"General practice service","GP",5
"Stafford Skin Cancer Clinic And Medical Centre","Stafford","QLD",4053,153.01065216,-27.40957342,"General practice service","GP",8
"Aboriginal Health Service - Launceston","Launceston","TAS",7250,147.13942343,-41.44116142,"General practice service","GP",21
"Merri-Bek Family Doctors","Brunswick West","VIC",3055,144.9454279,-37.75422754,"General practice service","GP",8
"Alice St Medical Centre","Atherton","QLD",4883,145.478942871094,-17.2647304534912,"General practice service","GP",10
"Canberra Family Health Centre","Deakin","ACT",2600,149.0956256,-35.31978922,"General practice service","GP",7
"Atune Health Centres - Cardiff","Cardiff","NSW",2285,151.65691762,-32.95154821,"General practice service","GP",7
"Orange Health Service Aboriginal Health Service","Orange","NSW",2800,149.09719047,-33.27603175,"Nurse led clinic","GP",32
"The Doctors Surgery Fairfield","Fairfield","NSW",2165,150.955535888672,-33.8681297302246,"General practice service","GP",41
"Community Child Health - Southport","Southport","QLD",4215,153.40999927,-27.97105725,"Maternal, child and family health service","GP",40
"Wyoming Medical And Dental Centre","Wyoming","NSW",2250,151.350204467773,-33.403995513916,"General practice service","GP",6
"Boyanup Child Health Centre","Boyanup","WA",6237,115.73143084,-33.48694662,"Maternal, child and family health service","GP",2
"Maternal And Child Health Centre - Cobram","Cobram","VIC",3644,145.65018454,-35.91807134,"Maternal, child and family health service","GP",9
"Top Health Doctors Beenleigh","Beenleigh","QLD",4207,153.20667776,-27.71771877,"General practice service","GP",17
"Glasshouse Mountains Medical Centre","Glass House Mountains","QLD",4518,152.95804243,-26.89807136,"General practice service","GP",2
"Box Hill Family Clinic - Rutland Road","Box Hill","VIC",3128,145.1259326,-37.82025581,"General practice service","GP",20
"Merthyr 7 Day Medical Centre","New Farm","QLD",4005,153.04706335,-27.46724387,"General practice service","GP",4
"Aspire Medical And Skin Centre","Hillside","VIC",3037,144.730712890625,-37.6910629272461,"Maternal, child and family health service","GP",7
"Artarmon Medical Centre","Artarmon","NSW",2064,151.18312935,-33.80793198,"General practice service","GP",2
"Amity Family Practice","Boolaroo","NSW",2284,151.623031616211,-32.9521598815918,"General practice service","GP",2
"Carbal Medical Services - Warwick","Warwick","QLD",4370,152.026947021484,-28.2192974090576,"General practice service","GP",14
"St Clair Medical Practice","St Clair","NSW",2759,150.788452148438,-33.7952346801758,"General practice service","GP",8
"Marketplace Medical Centre","Shepparton","VIC",3630,145.423904418945,-36.3875999450684,"General practice service","GP",28
"Blackbutt Doctors Surgery","New Lambton","NSW",2305,151.70789546,-32.93384413,"General practice service","GP",8
"Lalor Park Medical Centre","Lalor Park","NSW",2147,150.930587768555,-33.7615470886231,"General practice service","GP",3
"Westgroup Medical","St Albans","VIC",3021,144.79933265,-37.74230051,"General practice service","GP",27
"Royal Flying Doctors Health Group","Robinvale","VIC",3549,142.78105061,-34.58415086,"General practice service","GP",6
"Meadowbrook Medical Centre","Meadowbrook","QLD",4131,153.13785658,-27.66794785,"General practice service","GP",4
"Butler Village Medical Centre","Butler","WA",6036,115.698387145996,-31.649356842041,"General practice service","GP",8
"Maternal And Child Health Centre - Brighton East","Brighton East","VIC",3187,145.01425317,-37.91021994,"Maternal, child and family health service","GP",6
"Port Family Practice","Port Macquarie","NSW",2444,152.917389,-31.438272,"General practice service","GP",31
"Healthworks - Kangaroo Flat","Kangaroo Flat","VIC",3555,144.241287231445,-36.803596496582,"General practice service","GP",7
"Dr Eloise Fong Family Medical Practice","Riverwood","NSW",2210,151.05269849,-33.95051564,"General practice service","GP",14
"Glen Waverley General Practice","Glen Waverley","VIC",3150,145.16275893,-37.87857818,"General practice service","GP",27
"Bowral Skin Cancer & Cosmetic Clinic","Bowral","NSW",2576,150.41359637,-34.48516463,"General practice skin cancer service","GP",15
"Dr Irene Wong - General Practitioner","Melbourne","VIC",3000,144.968536376953,-37.8109855651856,"General practice service","GP",57
"Midwest Aero Medical Centre","Beresford","WA",6530,114.617340087891,-28.7633590698242,"General practice service","GP",2
"Doctors At Mill Park Medical Centre","Mill Park","VIC",3082,145.052734375,-37.6618576049805,"General practice service","GP",19
"Forsayth Primary Health Centre","Forsayth","QLD",4871,143.60425691,-18.58987026,"Nurse led clinic","GP",1
"Burleigh West Medical Centre","Burleigh Heads","QLD",4220,153.44335888,-28.09725553,"General practice service","GP",8
"Dr Dinh-Cuong Le Medical Practice","Cabramatta","NSW",2166,150.93560233,-33.89528512,"General practice service","GP",29
"Higgins Surgery","Higgins","ACT",2615,149.02711884,-35.23154013,"General practice service","GP",2
"Millennium Medical Centre - Spring Hill","Spring Hill","QLD",4000,153.02518085,-27.46442606,"General practice service","GP",14
"Myers Street Family Medical Practice","Geelong","VIC",3220,144.3618717,-38.15270668,"General practice service","GP",24
"Living Well With Dr Wilson","Berri","SA",5343,140.60532291,-34.28347893,"General practice service","GP",7
"Winnunga Nimmityjah Aboriginal Health Service","Narrabundah","ACT",2604,149.15457441,-35.33327351,"General practice service","GP",4
"Maternal And Child Health - Reservoir East Family Centre","Reservoir","VIC",3073,145.02219593,-37.71973411,"Maternal, child and family health service","GP",23
"Gp's @ The Kids","Parkville","VIC",3052,144.949310302734,-37.7934913635254,"General practice service","GP",11
"Guyra Health Service Child Family Health Nursing","Guyra","NSW",2365,151.67923197,-30.21266686,"Maternal, child and family health service","GP",5
"South Yarra Medical","South Yarra","VIC",3141,144.98990282,-37.83903838,"General practice service","GP",17
"Bunbury Immunisation Clinic (Wa Country Health Service)","Bunbury","WA",6230,115.64653734,-33.33414056,"Walk-in centre","GP",11
"Mackay City Medical","Mackay","QLD",4740,149.187805175781,-21.1427612304688,"General practice service","GP",16
"Le Thai Medical Centre","Springvale","VIC",3171,145.15050592,-37.94963347,"General practice service","GP",26
"Hepatitiswa - The Deen Clinic","Northbridge","WA",6003,115.85667933,-31.94499579,"General practice service","GP",8
"North East Family Practice","Holden Hill","SA",5088,138.6687622,-34.8466589,"General practice service","GP",2
"Tedder Avenue Medical Practice","Main Beach","QLD",4217,153.42486023,-27.97844435,"General practice service","GP",4
"188 Medical","Arundel","QLD",4214,153.387771606445,-27.9343414306641,"General practice service","GP",3
"Luddenham Medical Centre","Luddenham","NSW",2745,150.69425159,-33.88379423,"General practice service","GP",2
"First Care Medical Centre - Jordan Springs","Jordan Springs","NSW",2747,150.72535846,-33.72648472,"General practice service","GP",2
"Hyde & Partners Medical Practice","Gawler","SA",5118,138.74744546,-34.59642001,"General practice service","GP",5
"Millennium Medical Group","Spring Hill","QLD",4000,153.02518085,-27.46442606,"General practice service","GP",14
"Blackburn Specialist Centre","Blackburn","VIC",3130,145.15820286,-37.81750238,"General practice service","GP",10
"Medical Hq Maitland","Maitland","SA",5573,137.67399597168,-34.3709983825684,"General practice service","GP",17
"Ramsgate Beach Family Medical Practice","Monterey","NSW",2217,151.145767211914,-33.9754447937012,"General practice service","GP",1
"Wallumbilla Community Clinic","Wallumbilla","QLD",4428,149.174438476563,-26.5675601959229,"Nurse led clinic","GP",3
"Loganlea Family Practice","Loganlea","QLD",4131,153.12107951,-27.67464874,"General practice service","GP",4
"Rich River Health Group","Echuca","VIC",3564,144.74899,-36.140152,"General practice service","GP",14
"Smith Brothers Medical Clinic","Woodridge","QLD",4114,153.10910197,-27.63312548,"General practice service","GP",2
"Surrey Downs Medical Centre","Surrey Downs","SA",5126,138.701858520508,-34.8053741455078,"General practice service","GP",2
"Maternal And Child Health Centre - Essendon - Montgomery Park","Essendon","VIC",3040,144.932281494141,-37.7558860778809,"Maternal, child and family health service","GP",13
"Harmonie Medical Clinic","Salisbury","SA",5108,138.632912,-34.7632067,"General practice service","GP",11
"Maternal And Child Health Centre - Coburg","Coburg","VIC",3058,144.968872070313,-37.7404022216797,"Maternal, child and family health service","GP",18
"Middle Park Medical Centre","Middle Park","QLD",4074,152.922714233398,-27.555492401123,"General practice service","GP",5
"Dr Lee's Surgery","Hurlstone Park","NSW",2193,151.131149291992,-33.9052848815918,"General practice service","GP",2
"Moreton Atsichs - Strathpine","Strathpine","QLD",4500,152.98760451,-27.30080095,"General practice service","GP",14
"Pialba Medical Centre","Pialba","QLD",4655,152.83662163,-25.28717846,"General practice service","GP",16
"Nedlands Medical Centre","Crawley","WA",6009,115.815086364746,-31.9838886260986,"General practice service","GP",2
"Maternal And Child Health Centre - Werribee - Sister Rita Douglas","Werribee","VIC",3030,144.65546238,-37.88989406,"Maternal, child and family health service","GP",34
"Plateau Family Medicine","Collaroy Plateau","NSW",2097,151.28660896,-33.72702324,"General practice service","GP",2
"Bunker Road Medical Centre","Victoria Point","QLD",4165,153.28092214,-27.58785302,"General practice service","GP",12
"The Cottage Surgery","Manly Vale","NSW",2093,151.267286,-33.782602,"General practice service","GP",3
"Myhealth Yarrabilba","Yarrabilba","QLD",4207,153.10229617,-27.80256695,"General practice service","GP",3
"Dianella Family Medical Centre","Dianella","WA",6059,115.877476,-31.901619,"General practice service","GP",7
"Doctors At Westland","Whyalla Norrie","SA",5608,137.53529,-33.03009,"General practice service","GP",6
"Gpg Gp Clinic","Dandenong","VIC",3175,145.220809936523,-37.9777145385742,"General practice service","GP",35
"Curalo Medical Clinic","Eden","NSW",2551,149.90266418457,-37.0513038635254,"General practice service","GP",4
"Northern Medical Centre","Salisbury South","SA",5106,138.653625488281,-34.7832069396973,"General practice service","GP",1
"Spearwood Medical Centre","Spearwood","WA",6163,115.782341003418,-32.0941734313965,"General practice service","GP",8
"The Centre Doctors","Forestville","NSW",2087,151.21515792,-33.76235665,"General practice service","GP",5
"Cowra Community Health Centre Aboriginal Health Service","Cowra","NSW",2794,148.692459106445,-33.8319435119629,"Nurse led clinic","GP",7
