"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"Ochre Lancefield Country Practice","Lancefield","VIC",3435,144.734085083008,-37.2775573730469,"General practice service","GP",4
"Wedderburn Health Clinic","Wedderburn","VIC",3518,143.611038208008,-36.4180297851563,"General practice service","GP",3
"Hindmarsh Gp","Hindmarsh","SA",5007,138.570007324219,-34.9030990600586,"General practice service","GP",2
"Hallam Medical Group","Hallam","VIC",3803,145.271453857422,-38.0054473876953,"General practice service","GP",6
"Multicare Family Medical Centre","Ashfield","NSW",2131,151.124893188477,-33.8891639709473,"General practice service","GP",18
"Adelaide Vintage Health","Mount Barker","SA",5251,138.8700817,-35.08147122,"General practice service","GP",19
"Burslem Medical Centre","Maddington","WA",6109,115.977158,-32.04966,"General practice service","GP",10
"Headspace Ballarat","Ballarat Central","VIC",3350,143.85982597,-37.56095852,"General practice service","GP",23
"Nundah Doctors Surgery - Wavell Heights","Wavell Heights","QLD",4012,153.053070068359,-27.385986328125,"General practice service","GP",3
"Whitsunday Doctors Service Proserpine","Proserpine","QLD",4800,148.583312988281,-20.4034824371338,"General practice service","GP",8
"Campsie Day Surgery","Campsie","NSW",2194,151.098937988281,-33.9109649658203,"General practice service","GP",26
"Shire Of Campaspe","Echuca","VIC",3564,144.742919921875,-36.1253204345703,"Maternal, child and family health service","GP",14
"Maddington Doctors Practice","Maddington","WA",6109,115.97825,-32.04934,"General practice service","GP",10
"Our Medical Penrith","Jamisontown","NSW",2750,150.672927856445,-33.7698974609375,"General practice service","GP",3
"Morgan Street Healthcare Clinic","Wagga Wagga","NSW",2650,147.359619140625,-35.1143188476563,"General practice service","GP",25
"Maternal And Child Health Centre - Irymple","Irymple","VIC",3498,142.163452148438,-34.2342529296875,"Maternal, child and family health service","GP",3
"Randwick Medical","Randwick","NSW",2031,151.24186706543,-33.9174575805664,"General practice service","GP",29
"Kyabram District Health Service","Kyabram","VIC",3620,145.042190551758,-36.315559387207,"Aboriginal and Torres Strait Islander health service","GP",8
