ORGANISATION_NAME,SUBURB,STATE,POSTCODE,LONGITUDE,LATITUDE,NHSD_SERVICE_TYPE,GA_CLASS
Forrest Road Medical Centre,Padbury,WA,6025,115.7637710571290,-31.800565719604500,General practice service,GP
Mount Gambier Family Health,Mount Gambier,SA,5290,140.7857666015630,-37.83185958862310,General practice service,GP
Aberfoyle Park Medical Centre,Aberfoyle Park,SA,5159,138.59542846679700,-35.062347412109400,General practice service,GP
Nimbin Medical Centre,Nimbin,NSW,2480,153.22303771972700,-28.597566604614300,General practice service,GP
Dpv Health - Gp Superclinic,Mill Park,VIC,3082,145.0663604736330,-37.6502571105957,General practice service,GP
Grantham Street General Practice,Brunswick West,VIC,3055,144.9493408203130,-37.77101516723630,General practice service,GP
St John Of God Hospital - Berwick,Berwick,VIC,3806,145.34507751464800,-38.046051025390600,"Maternal, child and family health service",GP
Birkenhead Medical Centre,Drummoyne,NSW,2047,151.16221618652300,-33.855831146240200,General practice service,GP
Sorrento Medical Centre - Wa,Sorrento,WA,6020,115.759033203125,-31.822776794433600,General practice service,GP
Maternal And Child Health Centre - Red Hill,Red Hill,VIC,3937,145.01214599609400,-38.369197845459000,"Maternal, child and family health service",GP
Myclinic Elsternwick,Elsternwick,VIC,3185,145.00453186035200,-37.88493728637700,General practice skin cancer service,GP
Atherton Hospital,Atherton,QLD,4883,145.48350703539500,-17.266389479231600,"Maternal, child and family health service",GP
Woollahra Family Medical Practice,Woollahra,NSW,2025,151.2477546,-33.8891995,General practice service,GP
Point Lonsdale Medical Group,Point Lonsdale,VIC,3225,144.61915588378900,-38.273292541503900,General practice service,GP
Cheltenham Medical Centre,Cheltenham,VIC,3192,145.07333374023400,-37.96728515625,General practice service,GP
Ochre Health Medical Centre Tea Gardens,Tea Gardens,NSW,2324,152.1505889892580,-32.65186309814450,General practice service,GP
Ochre Lancefield Country Practice,Lancefield,VIC,3435,144.7340850830080,-37.277557373046900,General practice service,GP
Wedderburn Health Clinic,Wedderburn,VIC,3518,143.6110382080080,-36.41802978515630,General practice service,GP
Hindmarsh Gp,Hindmarsh,SA,5007,138.57000732421900,-34.903099060058600,General practice service,GP
Hallam Medical Group,Hallam,VIC,3803,145.27145385742200,-38.00544738769530,General practice service,GP
Multicare Family Medical Centre,Ashfield,NSW,2131,151.12489318847700,-33.889163970947300,General practice service,GP
Adelaide Vintage Health,Mount Barker,SA,5251,138.8700817,-35.08147122,General practice service,GP
Burslem Medical Centre,Maddington,WA,6109,115.977158,-32.04966,General practice service,GP
Headspace Ballarat,Ballarat Central,VIC,3350,143.85982597,-37.56095852,General practice service,GP
Nundah Doctors Surgery - Wavell Heights,Wavell Heights,QLD,4012,153.05307006835900,-27.385986328125,General practice service,GP
Whitsunday Doctors Service Proserpine,Proserpine,QLD,4800,148.58331298828100,-20.40348243713380,General practice service,GP
Campsie Day Surgery,Campsie,NSW,2194,151.09893798828100,-33.91096496582030,General practice service,GP
Shire Of Campaspe,Echuca,VIC,3564,144.742919921875,-36.12532043457030,"Maternal, child and family health service",GP
Maddington Doctors Practice,Maddington,WA,6109,115.97825,-32.04934,General practice service,GP
Our Medical Penrith,Jamisontown,NSW,2750,150.6729278564450,-33.7698974609375,General practice service,GP
Morgan Street Healthcare Clinic,Wagga Wagga,NSW,2650,147.359619140625,-35.11431884765630,General practice service,GP
Maternal And Child Health Centre - Irymple,Irymple,VIC,3498,142.1634521484380,-34.2342529296875,"Maternal, child and family health service",GP
Randwick Medical,Randwick,NSW,2031,151.2418670654300,-33.917457580566400,General practice service,GP
Kyabram District Health Service,Kyabram,VIC,3620,145.0421905517580,-36.31555938720700,Aboriginal and Torres Strait Islander health service,GP
Wetherill Park Family Practice,Wetherill Park,NSW,2164,150.9096221923830,-33.850955963134800,General practice service,GP
Maternal And Child Health Centre - Nar Nar Goon,Nar Nar Goon,VIC,3812,145.5692901611330,-38.0826530456543,"Maternal, child and family health service",GP
The Grange Family Medical Centre,Port Macquarie,NSW,2444,152.90846252441400,-31.44116973876950,General practice service,GP
Towerhill Medical Centre,Frankston,VIC,3199,145.13710021972700,-38.1628532409668,General practice service,GP
Moruya General Practice,Moruya,NSW,2537,150.080246,-35.911023,General practice service,GP
Indian Ocean Territory Health Service,Christmas Island,WA,6798,105.68667602539100,-10.439339637756300,General practice service,GP
Family Medical Centre - Ballina,Ballina,NSW,2478,153.5644989013670,-28.870473861694300,General practice service,GP
Ochre Medical Centre Coonamble,Coonamble,NSW,2829,148.38974119761,-30.95195267948740,General practice service,GP
The Clinic Altona,Altona,VIC,3018,144.8295135498050,-37.868003845214800,General practice service,GP
Condobolin Primary And Community Health Nursing Service,Condobolin,NSW,2877,147.15225219726600,-33.08173370361330,Nurse led clinic,GP
Port Hedland Medical Centre,Port Hedland,WA,6721,118.5770034790040,-20.31104278564450,General practice service,GP
Millmerran Multipurpose Health Services,Millmerran,QLD,4357,151.26278686523400,-27.87968635559080,"Maternal, child and family health service",GP
Maclean Community Health Centre,Maclean,NSW,2463,153.2018280029300,-29.453752517700200,Aboriginal and Torres Strait Islander health service,GP
Bankstown Medical & Dental Centre,Bankstown,NSW,2200,151.0354461669920,-33.9141731262207,General practice service,GP
Tharawal Aboriginal Corporation,Airds,NSW,2560,150.83359719,-34.08107801,Nurse practitioner led clinic,GP
Station Medical Centre,Melton South,VIC,3338,144.5731964111330,-37.702293395996100,General practice service,GP
Maternal And Child Health Centre -East Preston - Sylvester Grove,Preston,VIC,3072,145.0189666748050,-37.737632751464800,"Maternal, child and family health service",GP
Greens Medical Group,Dandenong South,VIC,3175,145.19590366,-38.01133993,General practice service,GP
Centacare Caboolture Services,Caboolture,QLD,4510,152.976806640625,-27.080970764160200,Aboriginal and Torres Strait Islander health service,GP
Doreen Family Medical Practice,Doreen,VIC,3754,145.11769104003900,-37.60430145263670,General practice service,GP
Blackwater Multipurpose Health Service,Blackwater,QLD,4717,148.87863159179700,-23.571672439575200,Nurse led clinic,GP
Campbelltown Hospital Antenatal Services Macquarie Fields - Anc Outreach Clinic,Campbelltown,NSW,2560,150.803466796875,-34.080055236816400,"Maternal, child and family health service",GP
Beach End Medical Clinic 36 Main Street Mornington 3931 Vic,Mornington,VIC,3931,145.03799438476600,-38.217491149902300,General practice service,GP
Cremorne Early Childhood Health Centre,Cremorne,NSW,2090,151.23048400878900,-33.82710647583010,"Maternal, child and family health service",GP
Mingenew Health Centre,Mingenew,WA,6522,115.44290924072300,-29.194168090820300,"Maternal, child and family health service",GP
Health On Grange,Flinders Park,SA,5025,138.53846740722700,-34.90549850463870,General practice service,GP
Totalcare Medical Centre,Laverton,VIC,3028,144.77580623,-37.85349712,General practice service,GP
Yinnar Clinic,Yinnar,VIC,3869,146.32822608,-38.32214554,General practice service,GP
West Gippsland Hospital,Warragul,VIC,3820,145.92782592773400,-38.17292404174810,Nurse led clinic,GP
Ufs Medical Centre - Booval,Booval,QLD,4304,152.78961181640600,-27.61302947998050,General practice service,GP
Roma Continence Advisory Service,Roma,QLD,4455,148.7755584716800,-26.56854820251470,Nurse led clinic,GP
Hay Street Medical Centre,Subiaco,WA,6008,115.8305936,-31.9473651,General practice service,GP
Browns Plains Medical & Dental Centre,Browns Plains,QLD,4118,153.0369415283200,-27.66358184814450,General practice service,GP
Sutherland Child And Family Health,Sutherland,NSW,2232,151.05673217773400,-34.031944274902300,"Maternal, child and family health service",GP
Camden Hospital University Medical Clinic - Continence Clinic,Camden,NSW,2570,150.69345092773400,-34.06362533569340,Nurse led clinic,GP
Holistic Health House,Fawkner,VIC,3060,144.9658203125,-37.70145034790040,General practice service,GP
St Antony Medical Centre,Pakenham,VIC,3810,145.4884796142580,-38.071739196777300,General practice service,GP
Dpv Health - Coleraine Street,Broadmeadows,VIC,3047,144.91812133789100,-37.67702102661130,General practice service,GP
Coomealla Health Aboriginal Corporation Dareton,Dareton,NSW,2717,142.0442352294920,-34.09506607055660,"Maternal, child and family health service",GP
Maternal & Child Health Centre - Tongala,Tongala,VIC,3621,144.94903564453100,-36.25022888183590,"Maternal, child and family health service",GP
Dapto Healthcare Medical Centre,Dapto,NSW,2530,150.7957305908200,-34.49275207519530,General practice service,GP
Your Community Health - East Reservoir,Reservoir,VIC,3073,145.0303955078130,-37.731624603271500,"Maternal, child and family health service",GP
Devonport Family Medical Centre,Devonport,TAS,7310,146.3607177734380,-41.182132720947300,General practice service,GP
Trangie Multi Purpose Service Community Health Service,Trangie,NSW,2823,147.977294921875,-32.03058624267580,Nurse led clinic,GP
Oberon Medical Centre,Oberon,NSW,2787,149.85507202148400,-33.70420837402340,General practice service,GP
Norwest General Practice,Bella Vista,NSW,2153,150.94447326660200,-33.73301315307620,General practice service,GP
Melbourne North Medical Clinic,Melbourne,VIC,3000,144.95812664,-37.8042088,General practice service,GP
Ingle Farm Medical Centre,Ingle Farm,SA,5098,138.64974431,-34.82995382,General practice service,GP
Westgate Health Co-Op Limited - Newport,Newport,VIC,3015,144.8875274658200,-37.84407424926760,General practice service,GP
North St Ives Medical Practice,St Ives Chase,NSW,2075,151.1597137451170,-33.71116256713870,General practice service,GP
Shark Bay Health Centre,Denham,WA,6537,113.53622436523400,-25.927701950073200,Nurse led clinic,GP
Raymond Mcmahon Medical Centre,Endeavour Hills,VIC,3802,145.26113891601600,-37.97886276245120,General practice service,GP
Katoomba Community Health Centre,Katoomba,NSW,2780,150.31317138671900,-33.71792221069340,Nurse led clinic,GP
Goldfields Womens Health Care Centre,Kalgoorlie,WA,6430,121.47286987304700,-30.743867874145500,Nurse led clinic,GP
Ochre Medical Centre Cohuna,Cohuna,VIC,3568,144.21875,-35.80610656738280,General practice service,GP
Community Carers' Team,Rozelle,NSW,2039,151.16810576,-33.86549686,"Maternal, child and family health service",GP
Medical On William,Port Macquarie,NSW,2444,152.9090945,-31.4308406,General practice service,GP
Beaudesert General Practice And Skin Cancer Clinic,Beaudesert,QLD,4285,152.99923706054700,-27.99042320251470,General practice service,GP
Powell Street Family Practice,Yagoona,NSW,2199,151.03489685058600,-33.90496826171880,General practice service,GP
Kingsway Drive Medical Centre,Lalor,VIC,3075,145.00491333007800,-37.66447067260740,General practice service,GP
Maternal And Child Health Centre - Mt Waverley - Sherwood Road,Mount Waverley,VIC,3149,145.1276092529300,-37.87883758544920,"Maternal, child and family health service",GP
Moonee Ponds Medical Centre,Moonee Ponds,VIC,3039,144.91793823242200,-37.76607131958010,General practice service,GP
Mamu Health Service Limited - Babinda,Babinda,QLD,4861,145.921875,-17.344284057617200,Aboriginal and Torres Strait Islander health service,GP
Health Dew Medical Centre,Hampton Park,VIC,3976,145.2566680908200,-38.03419876098630,General practice service,GP
Mungindi Aboriginal Health Service Nsw,Mungindi,NSW,2406,148.98902752,-28.9764094,Aboriginal and Torres Strait Islander health service,GP
Katherine Community Health Centre,Katherine,NT,850,132.26414489746100,-14.464162826538100,"Maternal, child and family health service",GP
Family Medical Practice @ 2325,Nulkaba,NSW,2325,151.35025024414100,-32.80817413330080,General practice service,GP
Moreton Atsichs - Morayfield,Morayfield,QLD,4506,152.94974696,-27.111846,Aboriginal and Torres Strait Islander health service,GP
Morayfield Child Health,Caboolture South,QLD,4510,152.94760131835900,-27.097869873046900,"Maternal, child and family health service",GP
Bass Coast Health - Wonthaggi Hospital,Wonthaggi,VIC,3995,145.58131408691400,-38.6082763671875,Community cancer service,GP
Ochre Medical Centre Sippy Downs,Sippy Downs,QLD,4556,153.06430053710900,-26.713029861450200,General practice service,GP
Matthew Talbot Hostel Primary Healthcare Clinic,Woolloomooloo,NSW,2011,151.2187042236330,-33.87350082397460,Nurse led clinic,GP
Dubbocare Family Practice,Dubbo,NSW,2830,148.60498046875,-32.25199508666990,General practice service,GP
Coolum Community Health,Coolum Beach,QLD,4573,153.0904083251950,-26.530746459960900,"Maternal, child and family health service",GP
